Make/Model,Total Losses,Destroyed,Damaged,Captured,Abandoned,Damaged and Captured,Damaged and Abandoned
120mm 2S9 Nona,67,57,3,5,0,0,0
120mm 2S23 Nona-SVK,7,4,0,3,0,0,0
120mm 2S34 Khosta,4,2,0,2,0,0,0
122mm 2S1 Gvozdika,138,112,5,8,1,0,0
152mm 2S3(M) Akatsiya,172,128,7,30,2,0,0
152mm 2S5 Giatsint-S,75,59,8,5,0,0,0
152mm 2S19 Msta-S,218,156,12,32,2,1,1
152mm 2S33 Msta-SM2,49,25,3,16,0,1,0
203mm 2S7(M) Pion/Malka,27,22,4,1,0,0,0
240mm 2S4 Tyulpan,53,50,3,0,0,0,0
Unknown SPG,22,18,3,0,0,0,0
122mm BM-21 Grad,244,163,16,30,2,4,0
122mm 9P138 Grad-1,21,15,5,0,0,1,0
122mm 2B26 Grad-K,5,4,1,0,0,0,0
122mm 2B17 Tornado-G,19,9,2,6,0,2,0
MT-LB with 140mm Ogon-18 MRLS,2,1,1,0,0,0,0
220mm TOS-1A,30,21,6,1,0,2,0
220mm BM-27 Uragan,87,61,3,6,0,0,0
300mm BM-30 Smerch,2,2,0,0,0,0,0
T-72 hull with RBU-6000 MRLS,1,1,0,0,0,0,0
Ural-4320 with RBU-6000 MRLS,1,1,0,0,0,0,0
Unknown MRLS,4,4,0,0,0,0,0
23mm ZU-23-2,20,5,0,14,0,1,0
57mm AZP S-60,2,2,0,0,0,0,0
Ural-4320 with 23mm ZU-23-2,12,11,0,1,0,0,0
Ural-4320 with 57mm AZP S-60,12,11,1,0,0,0,0
Ural-43206 with 23mm ZU-23-2,1,1,0,0,0,0,0
BTR-ZD Skrezhet,3,2,0,1,0,0,0
ZSU-23-4 Shilka,9,3,0,4,1,1,0
2K22M1 Tunguska,14,7,2,1,0,0,1
9K33 Osa,27,17,4,4,0,0,1
9K35 Strela-10,48,39,3,4,2,0,0
9K334 Gibka-S,1,1,0,0,0,0,0
9A39M1-2 TEL (for Buk-M1-2),10,8,2,0,0,0,0
9A317 TELAR (for Buk-M2),14,11,2,1,0,0,0
9A316 TEL (for Buk-M2),9,6,0,3,0,0,0
Unknown Buk M1-2/M2/M3 TEL(AR),13,11,1,0,0,0,0
9A317M TELAR (for Buk-M3),6,5,1,0,0,0,0
9A330 TLAR (for 9K330 Tor),11,2,2,4,0,3,0
9A331 TLAR (for 9K331 Tor-M1),10,8,1,1,0,0,0
9A331M TLAR (for 9K332 Tor-M2),30,12,15,2,1,0,0
Unknown Tor TLAR,6,2,4,0,0,0,0
Pantsir-S1,27,22,3,2,0,0,0
5P85SD/SM (launcher for S-300 PMU(-1)),3,2,0,0,0,0,0
9A83M2 TELAR (for S-300V4),4,4,0,0,0,0,0
9A84-2 TEL (for S-300V4),2,2,0,0,0,0,0
9A85-2 transloader (for S-300V4),1,1,0,0,0,0,0
5P85T2 (launcher for S-400),1,1,0,0,0,0,0
5P85SM2-01 (launcher for S-400),11,10,0,0,0,0,0
Launcher for S-400,4,4,0,0,0,0,0
9S36 (for Buk-M2),4,3,0,1,0,0,0
9S36M (for Buk-M3),3,3,0,0,0,0,0
96L6-TsP acquisition radar (for S-400/S-500),2,2,0,0,0,0,0
PPRU-1(M) '9S80(-1)' 'Sborka' (for 9K35 Strela-10),2,1,0,1,0,0,0
Repeynik portable counter-UAS radar,1,1,0,0,0,0,0
Fara ground surveillance radar,4,1,0,3,0,0,0
1L271 Aistyonok portable mortar locating reconnaissance radar,3,2,0,1,0,0,0
SNAR-10M1 battlefield surveillance radar,4,1,2,1,0,0,0
1L261 (for 1L260 Zoopark-1M counter-battery radar complex),14,6,4,2,0,0,0
P-18T surveillance radar,1,1,0,0,0,0,0
P-18-2 2D VHF surveillance radar,4,4,0,0,0,0,0
1L119 Nebo-SVU VHF multi-functional radar,2,1,1,0,0,0,0
"1K148 ""Yastreb-AV"" artillery reconnaissance complex",4,3,1,0,0,0,0
Predel coastal defence radar,1,1,0,0,0,0,0
Unknown radar,4,2,1,0,0,0,0
R-330BMV and R-394BMV Borisoglebsk-2B,7,4,2,1,0,0,0
R-330ZH Zhitel,21,17,4,0,0,0,0
R-934UM,1,1,0,0,0,0,0
1L262E Rtut-BM,1,1,0,0,0,0,0
Silok-01 counter-UAV system,5,3,1,1,0,0,0
Strizh-3 counter-UAV system,1,1,0,0,0,0,0
1RL257 Krasukha-4 (command post),1,0,0,1,0,0,0
Leer-2 electronic warfare system,6,5,1,0,0,0,0
RB-636AM2 Svet-KU EW system,3,2,1,0,0,0,0
RB-109A Bylina EW system,1,1,0,0,0,0,0
Sapfir anti-drone system,1,1,0,0,0,0,0
Unknown EW system,3,3,0,0,0,0,0
MiG-31BM fighter aircraft,3,3,0,0,0,0,0
Su-25 close air support aircraft,33,30,3,0,0,0,0
Su-24M strike aircraft,3,3,0,0,0,0,0
Su-24MR tactical reconnaissance aircraft,1,1,0,0,0,0,0
Su-24M/MR strike/tactical reconnaissance aircraft,10,4,3,0,0,0,0
Su-27 strike aircraft,2,2,0,0,0,0,0
Su-30SM multirole aircraft,12,9,1,0,0,0,0
Su-34 strike aircraft,34,28,3,0,0,0,0
Su-34M strike aircraft,1,1,0,0,0,0,0
Su-35S multirole aircraft,7,7,0,0,0,0,0
Su-57 Stealth multirole fighter,1,0,1,0,0,0,0
Tu-22M3 strategic bomber,4,3,1,0,0,0,0
Tu-95MS strategic bomber,1,0,1,0,0,0,0
An-26 transport aircraft,1,1,0,0,0,0,0
Il-76 transport aircraft,6,2,2,0,0,0,0
Mi-8 transport helicopter,37,22,5,1,0,0,0
Mi-8MTPR-1 electronic warfare helicopter,6,3,1,0,0,0,0
Mi-24P attack helicopter,4,4,0,0,0,0,0
Mi-24V/P/35M attack helicopter,4,2,2,0,0,0,0
Mi-35M attack helicopter,10,9,1,0,0,0,0
Mi-28 attack helicopter,14,10,2,0,0,0,0
Ka-52 Alligator attack helicopter,61,41,5,0,0,1,0
Unknown helicopter,7,3,0,0,0,0,0
Orion,6,6,0,0,0,0,0
Korsar,1,1,0,0,0,0,0
Orlan-10 UCAV,3,1,0,2,0,0,0
Forpost,5,5,0,0,0,0,0
Orlan-10,188,110,0,77,0,0,0
Orlan-10 jamming UAV,5,2,0,3,0,0,0
Orlan-20' ''Kartograf'',19,16,0,2,0,1,0
Orlan-30,14,9,0,5,0,0,0
Granat-3,1,1,0,0,0,0,0
Granat-4,7,5,0,2,0,0,0
Eleron-3,35,11,0,24,0,0,0
Eleron-3SV,1,1,0,0,0,0,0
Eleron-10,3,1,0,2,0,0,0
Eleron T28ME,9,5,0,4,0,0,0
Takhion,7,2,0,5,0,0,0
ZALA Z-16 (421-16Е),80,64,0,15,1,0,0
Merlin-VR,3,1,0,2,0,0,0
Lastochka-M,1,0,0,1,0,0,0
Supercam S350,43,33,0,10,0,0,0
Project 1164 Slava-class guided missile cruiser,1,0,0,0,0,0,0
Project 636.3 Improved Kilo-class submarine,1,0,1,0,0,0,0
Project 03160 Raptor-class patrol boat,5,3,2,0,0,0,0
Project 02510 BK-16E high-speed assault boat,1,1,0,0,0,0,0
Project 775 Ropucha-class landing ship,3,2,1,0,0,0,0
Project 11770 Serna-class landing craft,2,1,1,0,0,0,0
Stenka-class patrol boat,1,0,1,0,0,0,0
Project KS-701 'Tunets' coast guard patrol boat,3,3,0,0,0,0,0
GAZ-51,1,0,0,1,0,0,0
GAZ-66,62,49,0,13,0,0,0
GAZ-3308,17,12,0,2,2,0,0
GAZ Sobol,2,1,0,0,1,0,0
KrAZ-255B,5,3,1,1,0,0,0
KrAZ-255B tanker,9,8,0,0,0,1,0
KrAZ-260,1,1,0,0,0,0,0
KrAZ-260 tanker,9,2,1,1,0,0,0
ZiL-131,49,40,1,6,0,2,0
ZiL-131 tanker,3,2,0,1,0,0,0
9T217 transloader (for 9K33 Osa),5,3,0,2,0,0,0
9T244 transloader (for 9A330/1 Tor),7,3,0,0,0,2,0
Ural-375D,1,1,0,0,0,0,0
Ural-375D tanker,1,0,0,1,0,0,0
Ural-4320,1024,758,24,132,11,12,4
Ural-4320 DKZ,5,3,0,2,0,0,0
Ural-4320 tanker,183,105,1,63,1,2,0
Ural Avtozaks,7,6,0,1,0,0,0
Ural-43206,181,129,5,31,1,2,2
Ural Federal,24,16,0,5,0,0,0
Ural-5323,4,2,0,2,0,0,0
Ural-63704-0010 Tornado-U,28,20,1,4,1,1,0
Ural-542301 tank transporter,1,1,0,0,0,0,0
MAZ TZ-500 tanker,3,3,0,0,0,0,0
MAZ 531605 tanker,4,4,0,0,0,0,0
KamAZ 4x4,35,29,1,4,1,0,0
AS-4350 medical vehicle,13,10,0,3,0,0,0
KamAZ 6x4,3,2,0,1,0,0,0
KamAZ 6x6,1037,749,22,122,9,18,2
KamAZ 6x6 tanker,144,103,5,28,0,2,0
KamAZ-4385,1,1,0,0,0,0,0
PAK-200M mobile field kitchen,1,0,0,1,0,0,0
AP-2 mobile emergency room based on KamAZ 6x6,2,0,0,2,0,0,0
KamAZ 8x8,20,11,0,5,0,0,0
KamAZ 8x8 tanker,1,1,0,0,0,0,0
KamAZ Avtozaks,21,15,0,4,1,0,0
KamAZ-5350 with armoured cabin,17,9,2,5,0,0,0
KamAZ with MM-501 armoured cabin,31,19,1,8,2,1,0
KamAZ 8x8 with armoured cabin,7,7,0,0,0,0,0
KamAZ-6350 8x8 artillery tractor,17,14,2,0,0,0,0
ATS-59G artillery tractor,2,2,0,0,0,0,0
KamAZ 'Gorets' 3958,2,1,0,0,0,1,0
UAZ-469 jeep,40,24,1,10,1,3,0
UAZ-452 van,120,93,7,10,1,4,3
UAZ-3303,11,9,1,1,0,0,0
LuAZ-969,4,3,0,0,0,1,0
UAZ Patriot jeep,6,3,1,1,0,0,0
UAZ-3151,2,2,0,0,0,0,0
UAZ-3153,1,1,0,0,0,0,0
UAZ-31514,1,0,0,1,0,0,0
UAZ-23632 pickup truck,10,7,0,3,0,0,0
UAZ-23632-148-64 armed pickup truck,9,8,0,0,0,0,0
UAZ-394511 ‘Esaul’,5,3,0,0,0,2,0
UAZ-39094,20,19,0,0,0,1,0
Unknown fuel tanker,6,4,0,0,0,0,0
(Unknown) truck,268,154,7,10,1,0,1
(Unknown) vehicle,53,39,3,0,0,0,0
